Lemma,Sense,SuperSense,POS_Tag,Definition,Examples,Head,Amod/Comp,Gender
vaccinee,vaccinee.n.01,noun.person,n,a patient who has been vaccinated,[],vaccinated,,
vachel_lindsay,lindsay.n.02,noun.person,n,United States poet who traveled the country trading his poems for room and board (1879-1931),[],poet,,PPN
vacillator,waverer.n.01,noun.person,n,one who hesitates (usually out of fear),[],one,,N
vaclav_havel,havel.n.01,noun.person,n,Czech dramatist and statesman whose plays opposed totalitarianism and who served as president of Czechoslovakia from 1989 to 1992 and president of the Czech Republic since 1993 (born in 1936),[],dramatist,,PPN
vagn_walfrid_ekman,ekman.n.01,noun.person,n,Swedish oceanographer who recognized the role of the Coriolis effect on ocean currents (1874-1954),[],oceanographer,,PPN
vaishnava,vaishnava.n.01,noun.person,n,worshipper of Vishnu,[],worshipper,,N
vaisya,vaisya.n.01,noun.person,n,a member of the mercantile and professional Hindu caste; the third of the four main castes,[],member,,N
vajra,vajra.n.01,noun.person,n,Indra's thunderbolt,[],thunderbolt,,
valedictorian,valedictorian.n.01,noun.person,n,the student with the best grades who usually delivers the valedictory address at commencement,[],student,,N
valedictory_speaker,valedictorian.n.01,noun.person,n,the student with the best grades who usually delivers the valedictory address at commencement,[],student,,N
valentina_tereshkova,tereshkova.n.01,noun.person,n,Soviet cosmonaut who was the first woman in space (born in 1937),[],cosmonaut,,PPN
valentina_vladmirovna_tereshkova,tereshkova.n.01,noun.person,n,Soviet cosmonaut who was the first woman in space (born in 1937),[],cosmonaut,,PPN
valentine,valentine.n.01,noun.person,n,a sweetheart chosen to receive a greeting on Saint Valentine's Day,['will you be my valentine?'],sweetheart,,
valet,valet.n.01,noun.person,n,a manservant who acts as a personal attendant to his employer,"[""Jeeves was Bertie Wooster's man""]",manservant,,M
valet_de_chambre,valet.n.01,noun.person,n,a manservant who acts as a personal attendant to his employer,"[""Jeeves was Bertie Wooster's man""]",manservant,,M
vali,vali.n.01,noun.person,n,(Norse mythology) one of the Aesir and avenger of Balder; son of Odin,[],mythology,,PPN
valkyrie,valkyrie.n.01,noun.person,n,(Norse mythology) one of the maidens of Odin who chose heroes to be slain in battle and conducted them to Valhalla,[],mythology,,PPN
valley_girl,valley_girl.n.01,noun.person,n,a girl who grew up in the tract housing in the San Fernando Valley,[],girl,,F
valuator,appraiser.n.01,noun.person,n,one who estimates officially the worth or value or quality of things,[],one,,N
valuer,valuer.n.01,noun.person,n,someone who assesses the monetary worth of possessions,[],someone,,N
vamp,coquette.n.01,noun.person,n,a seductive woman who uses her sex appeal to exploit men,[],woman,,F
vamper,coquette.n.01,noun.person,n,a seductive woman who uses her sex appeal to exploit men,[],woman,,F
vampire,vampire.n.01,noun.person,n,(folklore) a corpse that rises at night to drink the blood of the living,[],folklore,,
van_allen,van_allen.n.01,noun.person,n,United States physicist who discovered two belts of charged particles from the solar wind trapped by the Earth's magnetic field (born in 1914),[],physicist,,PPN
